Title,Description,Link
Portal:Astronomy,"Astronomy is a natural science that studies celestial objects and the phenomena that occur in the cosmos. It uses mathematics, physics, and chemistry in order to explain their origin and their overall evolution. Objects of interest include planets, moons, stars, nebulae, galaxies, meteoroids, asteroids, and comets. Relevant phenomena include supernova explosions, gamma ray bursts, quasars, blazars, pulsars, and cosmic microwave background radiation. More generally, astronomy studies everything that originates beyond Earth's atmosphere. Cosmology is a branch of astronomy that studies the universe as a whole.
",https://en.wikipedia.org/wiki/Portal:Astronomy
Astronomy in the medieval Islamic world,"Medieval Islamic astronomy comprises the astronomical developments made in the Islamic world, particularly during the Islamic Golden Age (9th–13th centuries), and mostly written in the Arabic language. These developments mostly took place in the Middle East, Central Asia, Al-Andalus, and North Africa, and later in the Far East and India. It closely parallels the genesis of other Islamic sciences in its assimilation of foreign material and the amalgamation of the disparate elements of that material to create a science with Islamic characteristics. These included Greek, Sassanid, and Indian works in particular, which were translated and built upon.
",https://en.wikipedia.org/wiki/Astronomy_in_the_medieval_Islamic_world
Ahmad S. Dallal,"Ahmad S. Dallal (Arabic: أحمد دلال) is a scholar of Islamic studies and an academic administrator. He is the current president of The American University in Cairo.[1]
",https://en.wikipedia.org/wiki/Ahmad_Dallal
Doctor of Philosophy,"A Doctor of Philosophy (PhD, Ph.D., or DPhil; Latin: philosophiae doctor or doctor philosophiae) is the most common degree at the highest academic level, awarded following a course of study and research. The degree is abbreviated PhD and sometimes, especially in the U.S., as Ph.D. It is derived from the Latin Philosophiae Doctor, pronounced as three separate letters (/piːeɪtʃˈdiː/, PEE-aych-DEE).[1][2][3]
",https://en.wikipedia.org/wiki/PhD
MD–PhD,"The Doctorate of Medicine and of Philosophy (MD–PhD) is a dual doctoral degree for physician–scientists, combining the professional training of the Doctor of Medicine degree with the research expertise of the Doctor of Philosophy degree; the Ph.D. is the most advanced credential in the United States. Other dual degree programs exist, such as the joint MD–JD degree; both the JD professional degree and the MD are not universally recognized internationally, however. The National Institutes of Health currently provides 50 medical schools with Medical Scientist Training Program grants that support the training of students in MD–PhD programs at these institutions through tuition and stipend allowances. These programs are often competitive, with some admitting as few as two students per academic year.[1] The MCAT score and GPA of MD–PhD matriculants are often higher than MD only matriculants.[2][3]
",https://en.wikipedia.org/wiki/MD%E2%80%93PhD
Ezekiel Emanuel,"Ezekiel Jonathan ""Zeke"" Emanuel (born September 6, 1957) is an American oncologist, bioethicist[2] and senior fellow at the Center for American Progress. He is the current Vice Provost for Global Initiatives at the University of Pennsylvania and chair of the Department of Medical Ethics and Health Policy. Previously, Emanuel served as the Diane and Robert Levy University Professor at Penn. He holds a joint appointment at the University of Pennsylvania School of Medicine and the Wharton School and was formerly an associate professor at the Harvard Medical School until 1998 when he joined the National Institutes of Health.
",https://en.wikipedia.org/wiki/Ezekiel_Emanuel
Category:American people of Israeli descent,"Notable citizens of the United States of Israeli ethnic or national origin or descent, whether partial or full.
",https://en.wikipedia.org/wiki/Category:American_people_of_Israeli_descent
Lola Kirke,"Lola Clementine Kirke (born 27 September 1990)[2] is a British-American actress and singer-songwriter. She starred in the 2015 film Mistress America and the Amazon Studios television series Mozart in the Jungle. She appeared in Gone Girl (2014), Gemini (2017), and Lost Girls (2020) among other films. Recent work includes HBO's Winning Time (2022) and upcoming Starz limited series Three Women.[3]
",https://en.wikipedia.org/wiki/Lola_Kirke
Dreamland (2019 American film),"Dreamland is a 2019 American period thriller film directed by Miles Joris-Peyrafitte from a screenplay by Nicolaas Zwart.[2][3] The film stars Finn Cole, Margot Robbie, Travis Fimmel, Garrett Hedlund, Kerry Condon, Darby Camp and Lola Kirke.
",https://en.wikipedia.org/wiki/Dreamland_(2019_American_film)
Margot Robbie filmography,"Margot Robbie is an Australian actress and producer. She made her film debut in the 2008 film Vigilante. Robbie then landed a role on the long-running Australian soap opera Neighbours (2008–2011, 2022).[1] From 2011 until its cancellation in 2012, she portrayed a stewardess on the television series Pan Am. Her breakout role was in the Martin Scorsese-directed The Wolf of Wall Street (2013) opposite Leonardo DiCaprio. In 2015, she acted alongside Will Smith in the comedy-drama Focus.[2]  In the following year, Robbie played Harley Quinn in the DC Extended Universe film Suicide Squad, later reprising the role in Birds of Prey (2020) and The Suicide Squad (2021). Also in 2016, she played Jane Porter in The Legend of Tarzan. That year she also hosted an episode of Saturday Night Live.
",https://en.wikipedia.org/wiki/Margot_Robbie_filmography
Goodbye Christopher Robin,"Goodbye Christopher Robin is a 2017 British biographical drama film about the lives of Winnie-the-Pooh creator A. A. Milne and his family, especially his son Christopher Robin. It was directed by Simon Curtis and written by Frank Cottrell-Boyce and Simon Vaughan, and stars Domhnall Gleeson, Margot Robbie, and Kelly Macdonald. The film premiered in the United Kingdom on 29 September 2017. It received mixed reviews from critics and grossed $7.2 million at the box office.
",https://en.wikipedia.org/wiki/Goodbye_Christopher_Robin
Rabbit (Winnie-the-Pooh),"Rabbit is a fictional character in the book series and cartoons Winnie-the-Pooh. He is a friend of Winnie-the-Pooh, regards himself as practical and tends to take the lead, though not always with the results that he intends.[1][2]
",https://en.wikipedia.org/wiki/Rabbit_(Winnie-the-Pooh)
Return to the Hundred Acre Wood,"Return to the Hundred Acre Wood is a Winnie-the-Pooh novel published on 5 October 2009. Written by David Benedictus and illustrated by Mark Burgess, it was the first such book since 1928 and introduced the character Lottie the Otter.[1]
",https://en.wikipedia.org/wiki/Return_to_the_Hundred_Acre_Wood
Winnie the Pooh Discovers the Seasons,"Winnie the Pooh Discovers the Seasons is an educational short film produced by Rick Reinert Productions for Walt Disney Productions' educational media division and released in September 1981.[2][3]
",https://en.wikipedia.org/wiki/Winnie_the_Pooh_Discovers_the_Seasons
Heffalump,"A Heffalump is an elephant-like creature in the Winnie-the-Pooh stories by A. A. Milne. Heffalumps are mentioned, and only appear, in Pooh and Piglet's dreams in Winnie-the-Pooh (1926), and are seen again in The House at Pooh Corner (1928). Physically, they resemble elephants; E. H. Shepard's illustration shows an Indian elephant. They are later featured in the animated television series The New Adventures of Winnie the Pooh (1988–1991), followed by two animated films in 2005, Pooh's Heffalump Movie and Pooh's Heffalump Halloween Movie.
",https://en.wikipedia.org/wiki/Heffalump
Sherman Brothers,"The Sherman Brothers were an American songwriting duo that specialized in musical films, made up of brothers Robert B. Sherman (December 19, 1925 – March 6, 2012)[1] and Richard M. Sherman (born June 12, 1928). Together they received various accolades including two Academy Awards and three Grammy Awards. They received nominations for a Laurence Olivier Award, a BAFTA Award, and five Golden Globe Awards. In 1976, they received a star on the Hollywood Walk of Fame, and the National Medal of the Arts in 2008.
",https://en.wikipedia.org/wiki/Sherman_Brothers
Snoopy Come Home,"Snoopy, Come Home! is a 1972 American animated musical comedy-drama film directed by Bill Melendez and written by Charles M. Schulz based on the Peanuts comic strip.[2] The film marks the on-screen debut of Woodstock, who had first appeared in the strip in 1967. It was the only Peanuts film during composer Vince Guaraldi’s lifetime that did not have a score composed by him. Its music was composed by the Sherman Brothers, who composed the music for various Disney films like Mary Poppins (1964), The Jungle Book (1967), and Bedknobs and Broomsticks (1971). The film was released on August 9, 1972 by National General Corporation, produced by Lee Mendelson Films,  Bill Melendez Productions and Cinema Center Films (in the latter's final production). Despite receiving largely positive reviews, the film was a box-office flop, grossing only $245,073 against a production budget of over $1 million.[3]
",https://en.wikipedia.org/wiki/Snoopy_Come_Home
The Absent-Minded Professor,"The Absent-Minded Professor is a 1961 American science fiction comedy film directed by Robert Stevenson and produced by Walt Disney Productions. It is based on the 1943 short story ""A Situation of Gravity"" by Samuel W. Taylor. The title character was based in part on Hubert Alyea, a professor emeritus of chemistry at Princeton University, who was known as ""Dr. Boom"" for his explosive demonstrations. The film stars Fred MacMurray as Professor Ned Brainard, alongside Nancy Olson, Keenan Wynn, Tommy Kirk, Leon Ames, Elliott Reid, and Edward Andrews. The plot follows Brainard as he invents a substance that defies gravity, which he later exploits through various means.
",https://en.wikipedia.org/wiki/The_Absent-Minded_Professor
Forrest Lewis,"Raymond Forrest Lewis (November 5, 1899 – June 2, 1977)[citation needed] was an American actor of the theater, radio, motion pictures and television.
",https://en.wikipedia.org/wiki/Forrest_Lewis
Posse from Hell,"Posse from Hell is a 1961 American Western film directed by Herbert Coleman and starring Audie Murphy and John Saxon.[2]
",https://en.wikipedia.org/wiki/Posse_from_Hell
Category:Template film date with 1 release date,"Pages where Template:Film date has been used with one release date.
",https://en.wikipedia.org/wiki/Category:Template_film_date_with_1_release_date
Category:Template film date with 1 release date,"Pages where Template:Film date has been used with one release date.
",https://en.wikipedia.org/wiki/Category:Template_film_date_with_1_release_date?from=Ka
Kaaf Kangana,"Kaaf Kangana (Urdu: کاف کنگنا) is a 2019 Pakistani film.[2] It features Sami Khan, Eshal Fayyaz, Fiza Ali and Ayesha Omer. Kaaf Kangana is written and directed by Khalil-ur-Rehman Qamar.[3][4][5][6][7][8][9] The film was released worldwide on 25 October 2019.[10] The film was a critical and commercial failure.[11][12]
",https://en.wikipedia.org/wiki/Kaaf_Kangana
Category:Short description is different from Wikidata,"This category contains articles with short descriptions that do not match the description field on Wikidata. 
",https://en.wikipedia.org/wiki/Category:Short_description_is_different_from_Wikidata
._.,"._. may refer to:
",https://en.wikipedia.org/wiki/._.
Help:Disambiguation,"Disambiguation pages on Wikipedia are used as a process of resolving conflicts in article titles that occur when a single term can be associated with more than one topic, making that term likely to be the natural title for more than one article. In other words, disambiguations are paths leading to different articles which could, in principle, have the same title.
",https://en.wikipedia.org/wiki/Help:Disambiguation
Wikipedia:Hatnote,"Hatnotes are short notes placed at the very top of a page or a section. As an example, see the notes in italics immediately preceding the boxes above. The name comes from their placement, as a hat is placed on top of one's head. The purpose of a hatnote is to help readers locate a different article if the one they are at is not the one they're looking for. Readers may have arrived at the article containing the hatnote because:
",https://en.wikipedia.org/wiki/Wikipedia:Hatnote
England,– in Europe (green &amp; dark grey)– in the United Kingdom (green),https://en.wikipedia.org/wiki/England
First Minister of Scotland,"Charles III
",https://en.wikipedia.org/wiki/First_Minister_of_Scotland
Baháʼí Faith in Scotland,"The Baháʼí Faith[1] first arrived in Scotland during the first decade of the 20th century, and in 1913 'Abdu’l-Bahá made a three-day visit to Edinburgh at the invitation of Mrs Jane E. Whyte, wife of Dr Alexander Whyte, Moderator of the General Assembly Free Church of Scotland.[2] Over the following decades the Baháʼí Faith spread across Scotland, with Baháʼi communities now established in most cities across the country and many of the Scottish islands, including Orkney, Shetland, Skye and Isle of Lewis.
",https://en.wikipedia.org/wiki/Bah%C3%A1%CA%BC%C3%AD_Faith_in_Scotland
Renaissance in Scotland,"
The Renaissance in Scotland was a cultural, intellectual and artistic movement in Scotland, from the late fifteenth century to the beginning of the seventeenth century. It is associated with the pan-European Renaissance that is usually regarded as beginning in Italy in the late fourteenth century and reaching northern Europe as a Northern Renaissance in the fifteenth century. It involved an attempt to revive the principles of the classical era, including humanism, a spirit of scholarly enquiry, scepticism, and concepts of balance and proportion. Since the twentieth century, the uniqueness and unity of the Renaissance has been challenged by historians, but significant changes in Scotland can be seen to have taken place in education, intellectual life, literature, art, architecture, music, science and politics.
",https://en.wikipedia.org/wiki/Renaissance_in_Scotland
Science in the Renaissance,"During the Renaissance, great advances occurred in geography, astronomy, chemistry, physics, mathematics, manufacturing, anatomy and engineering. The collection of ancient scientific texts began in earnest at the start of the 15th century and continued up to the Fall of Constantinople in 1453, and the invention of printing allowed a faster propagation of new ideas. Nevertheless, some have seen the Renaissance, at least in its initial period, as one of scientific backwardness. Historians like George Sarton and Lynn Thorndike criticized how the Renaissance affected science, arguing that progress was slowed for some amount of time. Humanists favored human-centered subjects like politics and history over study of natural philosophy or applied mathematics. More recently, however, scholars have acknowledged the positive influence of the Renaissance on mathematics and science, pointing to factors like the rediscovery of lost or obscure texts and the increased emphasis on the study of language and the correct reading of texts.[1][2][3]
",https://en.wikipedia.org/wiki/History_of_science_in_the_Renaissance
Renaissance Papacy,"The Renaissance Papacy was a period of papal history between the Western Schism and the Reformation. From the election of Pope Martin V of the Council of Constance in 1417 to the Reformation in the 16th century, Western Christianity was largely free from schism as well as significant disputed papal claimants. There were many important divisions over the direction of the religion, but these were resolved through the then-settled procedures of the papal conclave.
",https://en.wikipedia.org/wiki/Renaissance_Papacy
Pope Benedict XIV,"Pope Benedict XIV (Latin: Benedictus XIV; Italian: Benedetto XIV; 31 March 1675 – 3 May 1758),[2] born Prospero Lorenzo Lambertini, was head of the Catholic Church and ruler of the Papal States from 17 August 1740 to his death in May 1758.[note 1]
",https://en.wikipedia.org/wiki/Pope_Benedict_XIV
